"GET_DDL('TABLE', 'RESOURCE_ALLOCATIONS')"
"create or replace TABLE RESOURCE_ALLOCATIONS (
	ALLOCATION_ID NUMBER(38,0) NOT NULL autoincrement start 1 increment 1 noorder,
	EMPLOYEE_ID NUMBER(38,0) NOT NULL,
	EMPLOYEE_NAME VARCHAR(200),
	DESIGNATION VARCHAR(200),
	ROLE_CATEGORY VARCHAR(50),
	PROJECT_NAME VARCHAR(200),
	CLIENT_NAME VARCHAR(200),
	MATCH_SCORE NUMBER(5,1),
	PROFICIENCY_MET NUMBER(38,0),
	SKILLS_MATCHED VARCHAR(16777216),
	MISSING_SKILLS VARCHAR(16777216),
	BILLING_RATE_PER_HOUR NUMBER(10,2),
	COST_RATE_PER_HOUR NUMBER(10,2),
	MARGIN_PERCENTAGE NUMBER(5,2),
	WAS_ON_BENCH BOOLEAN DEFAULT FALSE,
	ALLOCATED_BY VARCHAR(200),
	ALLOCATION_DATE TIMESTAMP_NTZ(9) DEFAULT CURRENT_TIMESTAMP(),
	ALLOCATION_STATUS VARCHAR(20) DEFAULT 'Active',
	RELEASED_DATE DATE,
	REMARKS VARCHAR(16777216),
	primary key (ALLOCATION_ID)
);"
